generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
0,61.35,23.55,5.8,37.1,-9.25,51.8,95.85,19.35,-46.9,-1.3,-61.9,70.75,17.45,-33.2,33.35,-73.3,-43.0,-14.4,20.95,0.65,48.15,-30.85,42.65,5.0,88.7,4396.13421053,5013.20789474,8412.8,9163.88421053,9547.25,10663.8526316,10476.1342105,3087.39736842,5440.41052632,5340.32631579,10984.3052632,7883.35526316,8898.26052632,12583.4315789,9338.66052632,10290.6421053,29695.6842105,8184.56842105,9642.05,8340.87105263,4141.50263158,6885.08157895,5755.29210526,9279.57894737,6735.06315789
1,77.9,72.1,-14.9,105.55,5.4,81.15,136.65,11.25,-48.75,-18.15,-37.9,55.45,5.0,-101.05,34.75,-68.35,-46.3,-22.65,18.2,18.75,63.65,-22.8,90.0,-32.8,102.3,1230.62105263,6827.88421053,8832.41052632,13393.7342105,5337.83157895,4937.92368421,8435.08157895,2042.30263158,6065.03947368,4164.23947368,10097.8842105,10380.4710526,7279.26315789,4948.05,11988.4078947,10808.3447368,29092.1157895,6169.50263158,7429.53684211,7369.35526316,2908.34473684,5732.58947368,5033.26315789,6931.32631579,6455.90526316
2,76.05,19.5,2.55,49.9,-21.45,102.65,193.0,-10.2,-24.0,-21.9,-50.05,62.15,6.25,-98.2,34.3,-71.5,-62.25,-28.75,1.45,33.9,72.35,15.1,110.45,-43.95,119.85,2549.20789474,6897.42105263,9534.89210526,11753.5684211,7499.20789474,2956.55526316,3995.36842105,636.273684211,4288.94736842,2870.30526316,11498.2605263,8791.18684211,6694.09210526,4410.58947368,12676.6421053,11943.7368421,34588.3026316,7412.09210526,8150.78684211,8045.25263158,467.923684211,1779.77894737,4938.57631579,5142.36578947,3594.45
3,76.05,19.5,2.55,49.9,-21.45,94.85,197.2,-15.05,-25.65,-7.75,-36.45,47.0,35.5,-59.8,39.15,-51.25,-42.95,-4.65,-15.1,67.05,67.55,5.1,103.85,-51.45,104.95,2549.20789474,6897.42105263,9534.89210526,11753.5684211,7499.20789474,3570.02894737,2737.22105263,873.102631579,3795.39736842,3037.77631579,18919.5236842,7464.63157895,9410.36842105,5411.85263158,6990.45,13921.8815789,37882.7868421,8705.81842105,8439.98947368,10195.5236842,689.734210526,2476.62105263,4718.34473684,6007.62894737,4375.52368421
4,65.4,31.0,-27.25,57.15,-3.15,81.6,204.5,-24.5,-24.3,7.05,-74.0,70.95,14.15,-69.8,35.85,-55.75,-91.1,-31.6,-22.25,50.2,70.45,5.05,94.0,-42.1,101.65,2381.30526316,7403.36842105,6635.46052632,13781.1868421,6015.29210526,4363.2,1083.31578947,990.684210526,2808.53684211,2855.94473684,19736.2105263,6958.26052632,8680.02894737,4303.11578947,5809.60789474,13615.3552632,43765.3578947,8431.83157895,7497.25,8066.37894737,660.576315789,2754.57631579,5298.42105263,6673.35789474,4016.34473684
5,76.3,54.45,-28.8,78.35,-18.2,84.65,190.0,-16.5,-42.7,15.7,-48.95,101.7,15.45,-75.55,-24.95,-54.4,-137.7,-38.0,-49.4,55.0,76.8,16.1,92.0,-26.95,111.05,1499.27368421,7103.31315789,6860.69473684,15988.7657895,4869.53684211,3862.66052632,1962.73684211,1290.89473684,3976.95789474,2694.64210526,17725.5236842,7032.74736842,9053.62894737,4893.94473684,5038.89210526,14190.5684211,45662.5368421,9496.84210526,4876.14736842,9249.15789474,446.905263158,2107.25263158,6131.68421053,6341.31315789,3417.52368421
6,84.85,52.15,-10.2,92.0,-35.25,63.5,176.5,-23.5,-64.5,36.25,-19.0,84.5,41.25,-63.35,-33.2,-37.2,-125.45,-20.85,-62.5,75.5,85.6,27.45,53.55,13.35,88.8,2009.50263158,8576.34473684,10314.8,15830.4210526,5283.03947368,3928.68421053,1716.57894737,1632.36842105,3196.57894737,2069.67105263,16841.7894737,7175.31578947,8910.82894737,5482.02894737,5018.37894737,13095.2210526,49808.7868421,11034.45,3540.15789474,10303.5263158,506.147368421,1564.78684211,6744.26052632,7475.29210526,3113.74736842
7,94.9,70.25,-5.45,120.0,-41.1,66.55,162.0,-15.5,-82.9,44.9,-8.1,98.05,32.95,-76.75,-53.55,-15.25,-110.8,-14.75,-67.35,84.95,92.65,35.6,31.05,40.05,79.75,1248.62105263,8309.03947368,11615.5236842,14783.7894737,5414.51578947,3544.36578947,1741.26315789,1915.73684211,2807.77894737,1376.62105263,12132.4105263,7836.68157895,8819.94473684,5902.19736842,4998.57631579,12409.4605263,46665.8526316,11336.7236842,1718.02894737,10614.2605263,282.45,1030.46315789,5800.36578947,5720.89210526,2374.93421053
8,113.15,17.95,52.4,48.1,-81.85,107.1,151.7,13.3,-88.5,31.05,34.5,58.5,79.1,-46.75,-51.2,-27.5,-141.15,-34.5,-63.05,65.85,85.9,20.25,47.75,13.0,85.75,1119.50263158,6364.99736842,9807.30526316,11335.3578947,4353.50263158,1376.93684211,2557.16842105,865.378947368,4535.52631579,1786.68157895,9041.21052632,7499.21052632,6296.09473684,6395.56578947,4637.74736842,12553.8421053,44722.6605263,10346.6842105,2193.83947368,9687.29210526,422.621052632,2557.46052632,6100.30263158,7413.78947368,2625.98684211
9,119.75,6.2,70.85,38.1,-93.25,99.8,175.0,-1.0,-59.4,18.4,81.2,17.25,118.65,-8.9,-27.45,-38.8,-163.9,-45.4,-63.9,55.3,93.15,30.55,17.9,45.65,69.0,943.881578947,5575.11578947,8451.08157895,9447.35789474,3803.35526316,2587.11578947,2740.21052632,1190.73684211,5041.51578947,2417.09473684,4027.11578947,5255.67105263,3715.08157895,4380.41052632,2929.62894737,12597.8526316,43811.4631579,9659.41052632,2231.46315789,9044.85263158,334.239473684,1901.62894737,4152.09473684,5769.92368421,1608.94736842
10,119.25,12.75,67.5,51.5,-89.75,107.65,183.3,0.2,-47.0,8.45,88.25,6.35,125.7,0.0,-19.8,-29.4,-156.35,-52.2,-52.75,48.75,93.15,30.55,17.9,45.65,69.0,994.934210526,6609.67105263,9379.73684211,10807.1052632,4381.77631579,2159.18684211,2819.90526316,946.273684211,5265.26315789,2489.62894737,3192.61842105,4539.71315789,2948.11578947,3564.42105263,2432.37894737,12166.0421053,39386.6605263,8340.06315789,2918.09210526,7808.09210526,334.239473684,1901.62894737,4152.09473684,5769.92368421,1608.94736842
11,137.0,-33.0,122.0,-7.0,-127.0,102.2,186.4,-4.4,-44.0,9.1,88.25,6.35,125.7,0.0,-19.8,-7.75,-118.45,-39.25,-45.9,61.3,97.3,38.75,5.25,63.0,63.25,0.0,0.0,0.0,0.0,0.0,2703.32631579,2579.41052632,1071.2,4902.10526316,2559.04210526,3192.61842105,4539.71315789,2948.11578947,3564.42105263,2432.37894737,11210.4078947,37273.8394737,8932.09210526,3061.35789474,8358.95789474,209.273684211,1032.61842105,2984.09210526,3787.05263158,1141.77631579
12,137.0,-33.0,122.0,-7.0,-127.0,97.95,195.2,-10.7,-33.3,5.1,65.5,32.95,103.65,-24.5,-39.85,12.0,-95.75,-44.0,-28.75,56.75,100.4,40.85,-11.95,78.3,52.25,0.0,0.0,0.0,0.0,0.0,3252.26052632,2098.48421053,1066.22105263,4214.43157895,2636.62105263,5245.10526316,6855.41842105,4856.66052632,5769.63157895,3852.45,9045.78947368,28740.1973684,7470.0,3309.67105263,6987.03947368,135.2,1022.45,328.05,1881.8,1.25
13,137.0,-33.0,122.0,-7.0,-127.0,104.6,197.8,-7.8,-28.6,-0.2,49.8,48.65,88.65,-40.1,-52.25,43.05,-50.3,-37.85,-10.75,62.75,100.4,40.85,-11.95,78.3,52.25,0.0,0.0,0.0,0.0,0.0,2807.41052632,2145.01052632,927.326315789,4263.41052632,2518.90526316,5944.16842105,7936.23947368,5524.55526316,6646.51578947,4451.56578947,4337.62894737,15681.6947368,6724.55526316,2807.56578947,6282.82894737,135.2,1022.45,328.05,1881.8,1.25
14,137.0,-33.0,122.0,-7.0,-127.0,99.15,200.9,-12.4,-25.6,0.45,65.5,32.95,103.65,-24.5,-39.85,43.05,-50.3,-37.85,-10.75,62.75,100.4,40.85,-11.95,78.3,52.25,0.0,0.0,0.0,0.0,0.0,3316.55526316,1809.88421053,974.778947368,3784.04210526,2600.15526316,5245.10526316,6855.41842105,4856.66052632,5769.63157895,3852.45,4337.62894737,15681.6947368,6724.55526316,2807.56578947,6282.82894737,135.2,1022.45,328.05,1881.8,1.25
15,137.0,-33.0,122.0,-7.0,-127.0,76.8,181.7,-17.7,-55.1,25.65,64.7,29.9,103.2,-23.4,-38.4,62.8,-27.6,-42.6,6.4,58.2,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,3910.48421053,2000.11578947,1493.16842105,3865.46315789,2470.23947368,5174.53684211,7285.14736842,4816.8,5894.56842105,3994.77894737,60.8,3891.2,5276.46315789,1786.77894737,4924.8,0.0,0.0,0.0,0.0,0.0
16,137.0,-33.0,122.0,-7.0,-127.0,84.65,190.0,-16.5,-42.7,15.7,71.75,19.0,110.25,-14.5,-30.75,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,3862.66052632,1962.73684211,1290.89473684,3976.95789474,2694.64210526,4584.93421053,6859.47368421,4279.14473684,5350.26315789,3673.88157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,137.0,-33.0,122.0,-7.0,-127.0,99.8,175.0,-1.0,-59.4,18.4,74.95,31.2,112.05,-18.9,-36.55,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,2587.11578947,2740.21052632,1190.73684211,5041.51578947,2417.09473684,4811.62894737,5303.01052632,4409.31315789,4917.67368421,3171.41842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,137.0,-33.0,122.0,-7.0,-127.0,113.1,180.2,4.8,-50.0,7.8,82.8,23.35,119.55,-11.1,-30.35,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,1552.51578947,3040.16842105,776.8,5609.47368421,2419.32631579,4111.32631579,4539.08157895,3765.10263158,4195.14736842,2707.39736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,137.0,-33.0,122.0,-7.0,-127.0,99.8,175.0,-1.0,-59.4,18.4,91.45,18.55,127.5,-4.4,-25.6,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,2587.11578947,2740.21052632,1190.73684211,5041.51578947,2417.09473684,3308.15526316,3308.15526316,3019.73684211,3266.14736842,2063.62105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,137.0,-33.0,122.0,-7.0,-127.0,79.2,193.1,-21.1,-39.7,16.35,60.05,49.95,97.5,-35.6,-50.4,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,4142.90526316,1678.51578947,1254.09473684,3586.64210526,2754.13421053,5902.78684211,5902.78684211,5388.15789474,5827.83157895,3682.14736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,137.0,-33.0,122.0,-7.0,-127.0,87.05,201.4,-19.9,-27.3,6.4,60.05,49.95,97.5,-35.6,-50.4,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,4055.41842105,1441.93684211,1060.41052632,3296.11578947,2783.72631579,5902.78684211,5902.78684211,5388.15789474,5827.83157895,3682.14736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,137.0,-33.0,122.0,-7.0,-127.0,93.7,204.0,-17.0,-22.6,1.1,52.2,57.8,90.0,-43.4,-56.6,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,3763.16842105,1454.52631579,977.684210526,3285.72631579,2680.51578947,6227.11578947,6227.11578947,5684.21052632,6148.04210526,3884.46315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,137.0,-33.0,122.0,-7.0,-127.0,107.0,209.2,-11.2,-13.2,-9.5,67.9,42.1,105.0,-27.8,-44.2,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,2899.36842105,1437.01052632,759.115789474,3125.43157895,2296.68421053,5448.72631579,5448.72631579,4973.68421053,5379.53684211,3398.90526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,137.0,-33.0,122.0,-7.0,-127.0,113.65,211.8,-8.3,-8.5,-14.8,67.9,42.1,105.0,-27.8,-44.2,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,2327.81842105,1406.90526316,623.273684211,2975.52631579,2016.06315789,5448.72631579,5448.72631579,4973.68421053,5379.53684211,3398.90526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,137.0,-33.0,122.0,-7.0,-127.0,102.75,218.0,-17.5,-2.5,-13.5,67.9,42.1,105.0,-27.8,-44.2,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,3491.25,533.684210526,663.947368421,1743.94736842,2217.63157895,5448.72631579,5448.72631579,4973.68421053,5379.53684211,3398.90526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,137.0,-33.0,122.0,-7.0,-127.0,89.45,212.8,-23.3,-11.9,-2.9,83.6,26.4,120.0,-12.2,-31.8,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,4236.05,647.536842105,805.589473684,2115.98947368,2690.72631579,4151.41052632,4151.41052632,3789.47368421,4098.69473684,2589.64210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,137.0,-33.0,122.0,-7.0,-127.0,69.5,205.0,-32.0,-26.0,13.0,83.6,26.4,120.0,-12.2,-31.8,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,4655.0,711.578947368,885.263157895,2325.26315789,2956.84210526,4151.41052632,4151.41052632,3789.47368421,4098.69473684,2589.64210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,137.0,-33.0,122.0,-7.0,-127.0,96.1,215.4,-20.4,-7.2,-8.2,36.5,73.5,75.0,-59.0,-69.0,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,3910.2,597.726315789,743.621052632,1953.22105263,2483.74736842,6486.57894737,6486.57894737,5921.05263158,6404.21052632,4046.31578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,137.0,-33.0,122.0,-7.0,-127.0,96.1,215.4,-20.4,-7.2,-8.2,44.35,65.65,82.5,-51.2,-62.8,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,3910.2,597.726315789,743.621052632,1953.22105263,2483.74736842,6421.71315789,6421.71315789,5861.84210526,6340.16842105,4005.85263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,137.0,-33.0,122.0,-7.0,-127.0,69.5,205.0,-32.0,-26.0,13.0,28.65,81.35,67.5,-66.8,-75.2,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,4655.0,711.578947368,885.263157895,2325.26315789,2956.84210526,6421.71315789,6421.71315789,5861.84210526,6340.16842105,4005.85263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,137.0,-33.0,122.0,-7.0,-127.0,76.15,207.6,-29.1,-21.3,7.7,12.95,97.05,52.5,-82.4,-87.6,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,4608.45,704.463157895,876.410526316,2302.01052632,2927.27368421,5902.78684211,5902.78684211,5388.15789474,5827.83157895,3682.14736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,137.0,-33.0,122.0,-7.0,-127.0,96.1,215.4,-20.4,-7.2,-8.2,-2.75,112.75,37.5,-98.0,-100.0,59.0,-58.0,-78.0,27.0,24.0,103.0,48.0,-16.0,88.0,52.0,0.0,0.0,0.0,0.0,0.0,3910.2,597.726315789,743.621052632,1953.22105263,2483.74736842,4864.93421053,4864.93421053,4440.78947368,4803.15789474,3034.73684211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
